Date,Open,High,Low,Close,Volume
2018-08-09,109.71,110.16,109.6,109.67,13677211
2018-08-10,109.42,109.69,108.38,109.0,18183724
2018-08-13,109.24,109.58,108.1,108.21,18474884
2018-08-14,108.56,109.75,108.04,109.56,16788314
2018-08-15,108.49,108.99,106.82,107.66,29982806
2018-08-16,108.3,108.86,107.3,107.64,21384289
2018-08-17,107.36,107.9,106.69,107.58,18061512
2018-08-20,107.51,107.9,106.48,106.87,17914201
2018-08-21,106.92,107.35,105.85,105.98,22881861
2018-08-22,105.85,107.34,105.78,107.06,18000639
2018-08-23,107.15,108.18,106.87,107.56,18167723
2018-08-24,107.67,108.56,107.56,108.4,17234020
2018-08-27,109.27,109.64,108.51,109.6,19662331
2018-08-28,109.94,110.5,109.79,110.26,19151528
2018-08-29,110.45,112.03,110.27,112.02,20818044
2018-08-30,111.67,112.61,111.44,111.95,22798702
2018-08-31,111.69,112.78,111.52,112.33,23222713
2018-09-04,110.85,111.96,110.22,111.71,22634641
2018-09-05,111.01,111.42,108.1,108.49,32872352
2018-09-06,108.25,108.99,107.51,108.74,23477624
2018-09-07,108.23,108.72,107.23,108.21,22498646
2018-09-10,108.84,109.64,108.36,109.38,20727906
2018-09-11,108.9,111.59,108.89,111.24,24301774
2018-09-12,111.43,111.85,110.51,111.71,18891064
2018-09-13,112.12,113.73,112.12,112.91,26055620
2018-09-14,113.36,113.73,112.44,113.37,19122349
2018-09-17,113.69,113.7,111.86,112.14,20736516
2018-09-18,112.19,113.7,111.72,113.21,22170934
2018-09-19,113.05,113.32,111.04,111.7,21728429
2018-09-20,112.28,113.8,111.93,113.57,23714512
2018-09-21,114.0,115.29,113.51,114.26,71229698
2018-09-24,113.03,114.9,112.22,114.67,27334460
2018-09-25,114.8,115.1,113.75,114.45,22668014
2018-09-26,114.47,115.06,113.74,113.98,19352025
2018-09-27,114.78,114.91,114.2,114.41,19091299
2018-09-28,114.19,114.57,113.68,114.37,21647811
2018-10-01,114.75,115.68,114.73,115.61,18883079
2018-10-02,115.3,115.84,114.44,115.15,20787239
2018-10-03,115.42,116.18,114.93,115.17,16648018
2018-10-04,114.61,114.76,111.63,112.79,34821717
2018-10-05,112.63,113.17,110.64,112.13,29068859
2018-10-08,111.66,112.03,109.34,110.85,29640588
2018-10-09,111.14,113.08,110.8,112.26,26198594
2018-10-10,111.24,111.5,105.79,106.16,61376300
2018-10-11,105.35,108.93,104.2,105.91,63904282
2018-10-12,109.01,111.24,107.12,109.57,47742109
2018-10-15,108.91,109.48,106.95,107.6,32068103
2018-10-16,109.54,111.41,108.95,111.0,31610164
2018-10-17,111.68,111.81,109.55,110.71,26548243
2018-10-18,110.1,110.53,107.83,108.5,32506192
2018-10-19,108.93,110.86,108.21,108.66,32785475
2018-10-22,109.32,110.54,108.24,109.63,26545607
2018-10-23,107.77,108.97,105.11,108.1,43770429
2018-10-24,108.41,108.49,101.59,102.32,63897759
2018-10-25,106.55,109.27,106.15,108.3,61646819
2018-10-26,105.69,108.75,104.76,106.96,55523104
2018-10-29,108.11,108.7,101.63,103.85,55162001
2018-10-30,103.66,104.38,100.11,103.73,65350878
2018-10-31,105.44,108.14,105.39,106.81,51062383
2018-11-01,107.05,107.32,105.53,105.92,33384201
2018-11-02,106.48,107.32,104.98,106.16,37680194
2018-11-05,106.37,107.74,105.9,107.51,27922144
2018-11-06,107.38,108.84,106.28,107.72,24340248
2018-11-07,109.44,112.24,109.4,111.96,37901704
2018-11-08,111.8,112.21,110.91,111.75,25644105
2018-11-09,110.85,111.45,108.76,109.57,32039223
2018-11-12,109.42,109.96,106.1,106.87,33621807
2018-11-13,107.55,108.74,106.64,106.94,35374583
2018-11-14,108.1,108.26,104.47,104.97,39495141
2018-11-15,104.99,107.8,103.91,107.28,38505165
2018-11-16,107.08,108.88,106.8,108.29,33502121
2018-11-19,108.27,108.56,103.55,104.62,44773899
2018-11-20,101.8,102.97,99.35,101.71,64052457
